I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,Angle
494,579,578,619,729,838,632,497,663,496,427,756,425,574,431,6
494,579,576,617,729,839,631,495,662,495,423,740,424,573,429,6
493,577,575,618,730,839,633,496,662,496,424,741,423,573,427,6
492,574,572,617,726,839,631,493,659,493,423,737,421,574,427,6
492,574,572,617,726,838,631,494,658,492,422,740,424,574,428,6
491,573,572,616,725,838,632,495,658,494,424,761,424,574,426,6
491,574,572,617,723,839,631,491,657,492,423,737,419,573,423,6
450,543,541,597,717,851,612,453,644,453,425,740,423,557,430,6
450,545,543,596,718,852,613,454,646,454,425,740,423,557,430,6
451,545,543,598,718,853,613,453,645,453,425,740,423,557,420,6
493,574,572,618,723,838,632,494,661,495,424,758,423,575,428,6
490,572,570,617,723,839,632,494,661,494,423,745,423,576,428,6
493,574,573,618,723,838,632,495,662,495,425,757,425,576,428,6
493,576,574,619,723,838,634,496,663,496,425,753,424,576,429,6
493,576,574,620,724,838,634,496,663,497,426,759,426,576,429,6
493,575,573,619,724,838,634,495,663,496,425,761,425,576,429,6
493,575,574,619,724,838,633,495,659,494,424,758,423,575,427,6
492,574,573,619,724,837,633,494,658,494,423,755,423,575,427,6
489,568,569,616,727,837,633,493,658,495,425,754,423,574,427,6
491,573,572,617,728,838,632,493,659,494,423,749,422,573,426,6
492,573,571,617,726,838,630,493,659,494,422,729,420,570,425,6
490,572,571,618,726,838,631,495,659,494,423,751,422,570,425,6
488,571,569,617,727,839,630,492,658,491,425,740,420,570,425,6
491,573,571,619,727,838,632,493,658,493,422,746,422,571,427,6
492,574,572,620,728,838,633,495,660,494,422,738,420,571,424,6
492,574,571,619,728,840,634,495,663,495,424,747,421,571,427,6
493,575,572,620,729,839,635,496,663,496,425,753,425,573,430,6
492,572,571,621,730,838,634,496,663,496,425,757,423,571,428,6
492,573,571,620,727,839,634,495,663,495,424,748,423,572,428,6
492,574,573,620,727,839,635,496,664,496,424,749,423,572,425,6
492,575,572,619,725,839,634,495,663,494,423,751,422,572,427,6
491,572,571,619,726,838,634,494,664,494,424,753,424,572,427,6
492,575,572,618,729,839,632,494,664,493,423,749,421,572,428,6
492,573,573,620,726,839,632,493,665,495,424,750,423,574,427,6
492,575,574,621,724,838,634,496,666,496,426,761,424,575,428,6
492,576,575,621,725,838,634,497,666,497,426,759,425,576,429,6
494,576,574,622,725,838,635,496,666,497,427,760,425,576,430,6
494,578,578,623,726,838,636,497,666,496,424,747,424,577,428,6
494,577,576,623,726,838,638,498,667,499,427,762,426,578,430,6
495,577,576,623,726,839,638,499,667,498,427,762,426,578,430,6
495,578,576,624,727,839,639,499,667,498,427,767,427,578,431,6
495,577,575,624,728,839,639,497,667,496,426,754,425,578,430,6
495,576,575,624,727,839,638,497,667,497,426,755,425,576,429,6
494,576,575,623,728,839,638,496,667,496,425,754,425,575,429,6
494,578,577,624,730,839,639,499,668,498,427,755,426,576,430,6
497,583,581,625,730,839,639,499,668,498,427,756,427,576,431,6
496,580,578,624,728,840,639,498,668,497,425,746,425,575,430,6
497,582,580,625,726,839,639,498,668,498,426,755,426,576,432,6
497,582,578,625,728,839,640,499,668,499,427,760,426,576,430,6
495,578,577,625,726,839,639,499,669,498,426,751,425,576,429,6
494,577,575,624,726,839,639,498,669,498,426,758,425,575,430,6
494,578,576,624,726,840,639,498,669,498,425,745,424,575,429,6
494,578,576,624,726,840,640,498,669,498,426,756,425,575,429,6
495,578,575,624,727,839,640,499,670,498,427,762,426,576,431,6
496,578,574,624,728,839,639,499,670,499,427,765,426,577,429,6
496,580,579,625,727,840,638,498,670,499,427,759,426,577,429,6
495,579,579,625,731,839,639,499,671,499,427,755,426,577,431,6
495,578,576,625,732,839,640,499,671,498,427,747,426,576,430,6
493,577,576,624,726,841,640,497,671,496,422,727,422,573,428,6
495,579,577,626,726,840,641,498,670,496,424,743,424,573,426,6
494,578,576,625,723,839,640,497,664,496,425,752,423,573,427,6
493,573,572,625,725,838,638,495,663,496,424,751,423,575,429,6
492,575,574,624,723,839,638,494,663,494,422,740,422,574,427,6
492,576,574,624,724,839,638,496,665,495,421,725,421,575,424,6
493,576,574,625,728,840,641,498,668,498,427,761,426,576,429,6
493,575,574,625,726,840,640,496,669,497,426,756,425,576,427,6
493,575,573,625,726,839,641,497,669,497,424,745,422,575,426,6
494,578,575,625,728,839,641,498,669,498,427,751,425,576,428,6
496,579,577,627,730,839,642,499,670,499,427,751,426,578,431,6
496,578,576,627,732,839,640,498,670,499,426,755,425,577,429,6
496,579,578,609,726,839,640,499,670,498,426,741,425,578,430,6
497,581,579,610,728,839,640,499,671,500,428,760,428,579,431,6
497,580,578,609,728,839,640,500,670,500,428,764,427,579,431,6
