I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,Angle
541,574,572,688,735,837,687,531,657,599,509,775,465,626,460,3
540,572,571,688,735,838,687,530,652,597,508,774,464,626,460,3
541,575,573,688,732,838,687,531,661,598,510,773,465,627,461,3
541,575,573,688,731,837,689,532,662,599,511,774,466,628,462,3
542,576,574,688,732,838,689,532,661,599,511,775,466,628,461,3
541,575,573,688,732,838,688,531,659,598,510,775,466,627,461,3
542,575,573,688,733,837,688,530,651,598,509,775,465,625,460,3
540,574,572,687,728,837,688,530,651,598,509,775,464,626,460,3
540,573,571,688,731,837,689,530,651,599,509,775,464,627,460,3
541,574,572,688,731,837,689,530,652,599,509,774,464,627,460,3
541,574,573,688,730,838,689,531,652,599,509,775,464,628,460,3
541,574,573,688,731,837,689,531,653,599,509,774,464,628,460,3
542,575,573,688,734,837,689,531,653,599,509,775,464,629,460,3
540,575,573,688,732,837,689,531,652,599,509,775,464,627,460,3
540,574,573,687,731,837,689,530,652,598,507,776,464,626,458,3
540,574,572,685,728,836,689,529,652,597,506,776,463,627,459,3
540,575,573,687,730,837,690,531,658,599,508,775,464,628,460,3
541,575,573,687,730,836,689,531,659,599,508,775,465,628,460,3
541,576,574,687,732,838,689,531,661,599,509,771,464,628,460,3
541,575,574,686,732,837,689,531,660,598,509,773,465,629,460,3
541,575,574,687,731,838,689,532,660,598,511,773,465,630,461,3
543,576,574,687,731,837,690,532,660,598,512,773,466,631,461,3
542,576,574,688,732,837,690,532,658,598,511,772,465,630,461,3
543,576,575,688,732,837,689,532,658,599,512,774,466,629,461,3
543,576,575,688,730,837,689,532,659,600,513,775,467,629,462,3
543,577,575,688,734,839,689,533,658,600,512,775,466,628,461,3
542,575,574,688,732,837,688,531,656,599,511,775,466,629,461,3
543,576,575,688,733,838,688,533,659,600,511,774,465,629,462,3
544,577,575,688,733,838,688,533,658,600,511,775,466,629,461,3
544,577,576,689,734,838,689,533,659,601,511,775,466,630,462,3
544,577,575,689,734,838,689,533,660,601,510,776,466,629,462,3
545,577,576,689,735,837,689,533,660,601,511,776,467,630,462,3
544,577,576,688,735,838,690,534,660,602,511,776,466,629,462,3
544,578,576,689,735,838,689,533,660,602,510,777,467,629,462,3
544,578,576,689,736,837,689,534,660,602,510,777,467,630,462,3
544,577,576,689,734,837,689,533,659,601,508,778,466,630,462,3
544,578,576,689,735,838,689,533,659,601,509,777,467,631,462,3
544,578,576,689,735,838,690,533,659,602,508,777,467,631,462,3
544,578,576,688,735,838,689,533,659,601,509,776,467,632,462,3
544,578,576,689,736,838,689,534,659,601,510,776,468,631,463,3
544,577,575,689,736,839,689,533,658,600,508,776,467,631,462,3
544,577,575,689,735,839,688,533,658,601,508,776,467,631,462,3
543,576,575,688,735,838,688,532,658,601,507,776,466,630,461,3
543,577,575,688,735,838,689,533,658,601,508,777,466,630,462,3
543,577,575,689,735,838,689,533,658,602,509,776,466,629,462,3
543,577,575,689,734,838,689,533,658,602,509,776,466,630,462,3
543,577,575,689,735,838,689,533,658,602,509,776,466,630,462,3
545,578,576,689,736,838,689,533,658,602,509,776,465,630,461,3
543,578,576,688,735,838,689,532,657,601,509,776,466,630,461,3
544,577,575,688,736,837,688,532,658,601,509,776,465,630,461,3
543,577,575,688,735,838,687,532,657,601,509,776,465,630,460,3
543,576,574,687,736,838,687,531,658,600,509,776,464,630,460,3
542,576,574,686,733,838,687,531,658,600,508,776,464,630,460,3
542,576,575,687,735,839,688,532,658,601,509,777,466,631,461,3
542,576,574,687,734,838,688,532,657,601,510,777,465,630,461,3
542,575,573,686,734,838,689,532,659,601,509,777,466,631,462,3
542,576,575,687,735,839,690,533,660,602,509,777,466,631,461,3
542,575,574,686,733,838,689,532,658,601,508,777,465,630,460,3
541,575,573,686,733,838,689,531,658,600,508,777,465,630,460,3
541,575,574,686,732,839,689,531,658,600,509,777,465,630,460,3
541,575,573,685,729,839,689,531,658,600,510,777,465,631,460,3
540,573,571,685,731,838,689,531,657,600,510,777,465,631,460,3
540,574,573,686,731,838,690,532,658,600,511,777,465,631,460,3
540,575,573,686,731,839,690,532,658,601,512,776,465,628,461,3
541,575,574,687,730,839,690,532,661,602,513,776,465,627,461,3
542,576,574,687,731,838,690,532,662,601,513,775,465,627,461,3
542,576,574,688,731,839,691,532,663,601,513,773,465,626,462,3
542,576,574,687,734,838,691,533,663,601,513,773,465,626,461,3
542,577,575,688,735,839,691,533,663,601,512,774,465,626,461,3
542,576,575,686,735,839,690,533,662,601,513,775,465,626,461,3
543,577,575,687,736,839,690,532,661,602,513,776,465,626,462,3
543,577,575,687,736,839,690,532,660,601,513,776,465,627,461,3
541,577,575,687,737,839,690,533,659,602,513,776,464,627,461,3
541,578,576,688,736,839,691,533,661,602,514,776,465,627,461,3
541,577,575,688,735,838,690,533,661,602,514,776,465,627,462,3
541,577,575,688,736,839,690,533,661,602,514,777,465,626,462,3
544,578,576,688,737,839,690,533,661,603,513,775,466,627,462,3
543,578,577,688,738,840,690,533,659,602,512,776,466,627,462,3
544,578,576,688,739,839,691,533,658,602,512,776,466,628,462,3
544,579,577,687,739,839,691,534,658,602,514,776,466,629,462,3
544,579,577,688,738,839,691,533,659,602,514,777,467,629,463,3
544,578,577,687,737,839,691,533,658,601,514,776,466,630,462,3
544,579,577,687,737,839,691,533,655,601,515,778,467,631,462,3
544,579,577,687,736,839,690,533,654,600,515,778,466,630,462,3
543,577,576,687,734,839,690,532,654,600,515,778,465,629,462,3
542,578,576,687,732,840,690,532,653,599,514,778,465,629,461,3
542,577,576,688,734,840,690,533,656,599,515,779,465,629,462,3
543,578,576,687,732,840,690,532,656,599,514,779,465,630,462,3
543,577,575,686,729,840,689,532,654,598,514,779,465,630,462,3
542,577,576,687,735,840,689,532,653,598,513,779,465,631,461,3
542,577,576,686,732,840,689,532,651,598,513,779,465,631,461,3
543,577,576,686,734,840,690,532,653,598,512,779,465,631,461,3
542,576,575,686,733,840,689,532,654,598,512,778,465,632,462,3
543,577,576,686,733,839,689,531,653,597,512,776,465,630,461,3
543,578,575,686,734,840,688,532,654,597,512,776,464,626,460,3
542,577,575,685,734,839,687,531,652,597,512,776,463,620,459,3
542,577,575,685,735,840,688,531,652,597,513,775,464,621,460,3
542,577,576,686,736,841,688,531,654,598,514,777,465,621,460,3
542,578,576,687,737,840,688,531,654,598,514,777,465,622,461,3
543,579,577,686,736,841,688,532,654,598,515,777,465,623,460,3
543,578,576,687,735,839,688,532,653,597,515,777,465,623,461,3
543,578,576,687,733,840,688,532,654,598,515,776,465,624,461,3
543,578,576,687,732,840,688,532,655,598,516,775,466,626,462,3
544,579,577,687,737,840,688,532,657,598,516,775,466,626,461,3
544,578,576,688,736,840,688,533,656,599,516,775,466,626,461,3
544,579,577,687,736,840,688,533,657,599,516,776,466,626,462,3
544,579,577,688,735,840,688,533,657,599,515,776,466,625,462,3
544,579,578,688,737,840,689,533,658,600,514,776,466,624,462,3
544,579,577,688,734,839,689,533,658,600,514,777,466,623,462,3
544,579,577,688,733,840,688,533,657,601,512,776,465,623,462,3
543,579,577,688,737,840,688,533,657,601,512,775,466,624,461,3
