I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,Angle
551,592,589,709,754,838,707,523,674,526,439,441,577,587,440,2
551,593,589,709,754,839,707,524,673,526,440,440,576,586,440,2
550,592,589,709,754,840,707,523,674,525,439,439,574,584,439,2
550,592,589,709,754,840,707,523,675,526,439,440,576,586,439,2
550,593,589,709,754,838,707,523,674,526,439,440,576,586,439,2
550,592,589,709,754,838,707,523,674,526,439,439,575,585,439,2
550,593,589,709,754,837,707,523,674,525,439,439,574,584,439,2
550,592,589,709,753,838,707,522,674,525,438,439,570,578,437,2
549,591,588,708,753,838,707,521,674,525,437,437,567,577,437,2
549,592,588,709,754,838,707,522,674,524,436,438,569,578,437,2
549,592,588,709,754,838,707,522,675,525,437,438,568,578,437,2
549,592,589,709,755,839,707,521,674,525,437,437,570,580,438,2
550,592,589,709,754,839,707,522,675,525,438,439,572,582,438,2
549,593,589,708,755,838,707,523,675,525,439,439,572,582,438,2
550,592,589,709,754,839,707,522,674,525,438,439,572,582,438,2
549,592,589,709,755,839,707,523,675,525,438,439,569,581,438,2
549,592,589,709,754,839,707,522,674,525,439,439,574,584,439,2
550,592,589,709,754,840,708,523,674,525,439,440,575,585,439,2
550,593,590,709,754,840,708,523,674,525,439,440,575,585,439,2
550,593,589,709,754,841,708,523,674,525,439,440,576,585,439,2
550,593,589,709,754,842,707,523,674,525,439,439,574,584,439,2
549,592,589,709,754,841,707,522,674,525,439,440,575,584,439,2
549,592,589,709,754,841,708,523,674,525,439,439,574,584,439,2
552,592,590,709,754,841,707,523,674,525,439,440,576,585,440,2
552,593,589,709,753,841,708,523,674,526,440,440,576,585,439,2
552,593,590,709,754,840,707,524,674,526,439,440,576,585,440,2
553,593,590,710,754,840,707,523,675,526,439,440,576,586,439,2
552,593,590,709,755,839,708,524,674,526,440,440,577,587,440,2
553,593,590,709,754,841,708,523,674,526,440,441,578,588,440,2
553,594,590,709,754,841,708,524,675,526,440,440,577,586,440,2
553,593,590,709,754,841,707,523,675,526,439,440,575,585,440,2
553,592,590,709,754,841,708,523,674,526,440,440,577,586,439,2
553,593,590,709,754,840,708,524,674,526,439,440,576,586,440,2
552,593,590,709,754,840,708,524,675,526,440,441,579,589,441,2
553,593,590,709,754,840,708,524,674,527,440,441,578,587,440,2
553,593,590,709,754,840,708,524,675,526,440,440,576,586,440,2
553,593,590,709,755,840,708,524,675,527,440,441,579,589,440,2
553,594,590,709,754,840,707,524,674,527,440,441,578,588,440,2
553,593,590,709,754,840,708,524,675,527,441,441,579,589,441,2
554,594,590,709,755,839,708,524,675,526,440,440,576,587,440,2
554,593,589,709,755,840,708,524,675,527,440,441,577,587,440,2
553,593,590,709,755,840,707,524,674,527,440,440,576,586,440,2
553,593,590,709,755,840,708,523,675,526,439,440,576,585,440,2
553,594,590,709,755,839,708,524,675,527,440,441,576,587,440,2
555,595,591,709,755,840,708,525,674,527,441,441,578,589,440,2
555,594,591,709,755,839,708,525,675,528,441,441,579,588,441,2
555,594,591,710,755,839,708,524,675,527,441,442,579,590,441,2
555,594,591,709,755,839,708,525,675,528,441,442,580,591,441,2
554,594,591,709,755,839,709,525,675,528,441,442,581,591,441,2
554,594,591,709,756,839,708,525,675,527,440,442,579,589,441,2
554,594,591,709,755,838,708,525,675,527,440,441,578,588,441,2
553,594,591,709,755,840,709,524,675,527,440,441,578,588,441,2
554,594,591,709,755,839,708,524,675,527,441,441,578,589,441,2
554,594,591,709,755,840,708,525,675,527,441,442,579,590,441,2
553,595,591,710,755,840,709,524,675,527,441,442,581,591,441,2
553,595,591,709,755,840,709,525,675,528,441,441,580,590,441,2
554,594,591,709,754,840,709,525,675,527,441,442,580,590,441,2
555,594,591,709,754,840,709,524,675,527,441,442,580,590,441,2
554,595,591,710,754,840,709,525,675,527,441,442,581,591,441,2
553,594,591,710,754,839,708,525,675,527,441,442,581,591,441,2
554,595,592,710,754,839,709,525,676,527,441,442,581,591,442,2
554,595,591,710,755,839,709,525,675,528,441,442,582,592,441,2
554,595,591,710,755,839,709,526,676,527,442,442,583,593,442,2
554,595,592,710,755,839,710,525,676,528,442,442,583,593,442,2
555,595,592,709,755,840,709,525,675,528,442,443,583,594,442,2
554,595,592,710,755,840,709,526,675,528,442,443,584,594,442,2
555,596,592,710,755,841,710,526,675,528,442,443,585,595,443,2
556,595,592,710,755,841,709,526,675,528,443,443,585,595,442,2
555,595,591,709,755,840,709,526,675,529,443,443,585,595,443,2
556,595,592,710,755,839,709,526,675,528,442,443,584,594,442,2
